Datetime,MWT,PFT
2022-01-01 00:00:00,3.72,0.9703651912
2022-01-01 01:00:00,3.38,0.9624899816
2022-01-01 02:00:00,3.02,0.9500140531
2022-01-01 03:00:00,2.85,0.9400517794
2022-01-01 04:00:00,2.76,0.9320148264
2022-01-01 05:00:00,2.68,0.9315778322
2022-01-01 06:00:00,2.7,0.9309369963
2022-01-01 07:00:00,2.78,0.9376243199
2022-01-01 08:00:00,2.84,0.9452662722
2022-01-01 09:00:00,2.79,0.9423514511
2022-01-01 10:00:00,2.88,0.9427258806
2022-01-01 11:00:00,2.92,0.9459399199
2022-01-01 12:00:00,2.74,0.9381053808
2022-01-01 13:00:00,2.58,0.9274831508
2022-01-01 14:00:00,2.51,0.9222455135
2022-01-01 15:00:00,2.51,0.9262652973
2022-01-01 16:00:00,2.46,0.9186483455
2022-01-01 17:00:00,2.83,0.9415713285
2022-01-01 18:00:00,3.79,0.9694668673
2022-01-01 19:00:00,3.87,0.9698319341
2022-01-01 20:00:00,3.64,0.9624997947
2022-01-01 21:00:00,3.34,0.95443412
2022-01-01 22:00:00,3.04,0.9420049457
2022-01-01 23:00:00,2.78,0.93132371
2022-01-02 00:00:00,4.27,0.9936043862
2022-01-02 01:00:00,4.12,0.9910042957
2022-01-02 02:00:00,3.97,0.9910999926
2022-01-02 03:00:00,3.93,0.991216887
2022-01-02 04:00:00,3.91,0.9911469782
2022-01-02 05:00:00,4.23,0.9911174257
2022-01-02 06:00:00,4.47,0.9911601138
2022-01-02 07:00:00,4.58,0.992493633
2022-01-02 08:00:00,4.74,0.9863962148
2022-01-02 09:00:00,4.7,0.9838587329
2022-01-02 10:00:00,5.07,0.9839594207
2022-01-02 11:00:00,5.45,0.9839069979
2022-01-02 12:00:00,5.12,0.9835430972
2022-01-02 13:00:00,4.79,0.9808980507
2022-01-02 14:00:00,4.52,0.9807260408
2022-01-02 15:00:00,4.42,0.9809104016
2022-01-02 16:00:00,4.44,0.9831879909
2022-01-02 17:00:00,4.68,0.9835533124
2022-01-02 18:00:00,6.44,0.9925165637
2022-01-02 19:00:00,6.42,0.9950969538
2022-01-02 20:00:00,6.21,0.9951272156
2022-01-02 21:00:00,5.71,0.9936408757
2022-01-02 22:00:00,5.11,0.9960621394
2022-01-02 23:00:00,4.64,0.9936128596
2022-01-03 00:00:00,2.65,1.0
2022-01-03 01:00:00,2.56,1.0
2022-01-03 02:00:00,2.47,1.0
2022-01-03 03:00:00,2.44,1.0
2022-01-03 04:00:00,2.38,1.0
2022-01-03 05:00:00,2.49,1.0
2022-01-03 06:00:00,3.02,0.99
2022-01-03 07:00:00,3.23,0.99
2022-01-03 08:00:00,4.42,0.94
2022-01-03 09:00:00,5.23,0.94
2022-01-03 10:00:00,5.63,0.94
2022-01-03 11:00:00,5.86,0.94
2022-01-03 12:00:00,5.62,0.94
2022-01-03 13:00:00,5.82,0.94
2022-01-03 14:00:00,5.99,0.93
2022-01-03 15:00:00,5.75,0.93
2022-01-03 16:00:00,5.7,0.93
2022-01-03 17:00:00,4.91,0.94
2022-01-03 18:00:00,5.43,0.98
2022-01-03 19:00:00,5.18,0.98
2022-01-03 20:00:00,4.9,0.98
2022-01-03 21:00:00,4.69,0.98
2022-01-03 22:00:00,3.85,0.98
2022-01-03 23:00:00,3.55,0.98
2022-01-04 00:00:00,3.29,0.98
2022-01-04 01:00:00,3.18,0.98
2022-01-04 02:00:00,2.94,0.99
2022-01-04 03:00:00,2.74,0.99
2022-01-04 04:00:00,2.68,0.99
2022-01-04 05:00:00,3.01,0.98
2022-01-04 06:00:00,3.06,0.99
2022-01-04 07:00:00,3.1,0.99
2022-01-04 08:00:00,4.39,0.93
2022-01-04 09:00:00,5.15,0.91
2022-01-04 10:00:00,5.83,0.93
2022-01-04 11:00:00,5.68,0.93
2022-01-04 12:00:00,5.37,0.94
2022-01-04 13:00:00,5.2,0.93
2022-01-04 14:00:00,5.43,0.93
2022-01-04 15:00:00,5.4,0.93
2022-01-04 16:00:00,5.14,0.94
2022-01-04 17:00:00,5.14,0.95
2022-01-04 18:00:00,5.23,0.98
2022-01-04 19:00:00,5.2,0.98
2022-01-04 20:00:00,4.72,0.98
2022-01-04 21:00:00,4.42,0.98
2022-01-04 22:00:00,3.81,0.98
2022-01-04 23:00:00,3.58,0.98
2022-01-05 00:00:00,3.37,0.98
2022-01-05 01:00:00,3.21,0.98
2022-01-05 02:00:00,3.05,0.98
2022-01-05 03:00:00,3.02,0.98
2022-01-05 04:00:00,2.98,0.98
2022-01-05 05:00:00,2.85,0.99
2022-01-05 06:00:00,3.19,0.99
2022-01-05 07:00:00,3.19,0.99
2022-01-05 08:00:00,4.55,0.93
2022-01-05 09:00:00,5.46,0.92
2022-01-05 10:00:00,5.58,0.92
2022-01-05 11:00:00,6.22,0.93
2022-01-05 12:00:00,5.76,0.94
2022-01-05 13:00:00,5.64,0.94
2022-01-05 14:00:00,5.67,0.93
2022-01-05 15:00:00,5.47,0.93
2022-01-05 16:00:00,3.72,0.89
2022-01-05 17:00:00,3.71,0.95
2022-01-05 18:00:00,5.49,0.98
2022-01-05 19:00:00,5.22,0.98
2022-01-05 20:00:00,5.15,0.98
2022-01-05 21:00:00,4.69,0.98
2022-01-05 22:00:00,4.1,0.98
2022-01-05 23:00:00,3.81,0.99
2022-01-06 00:00:00,3.53,0.99
2022-01-06 01:00:00,3.42,0.98
2022-01-06 02:00:00,3.23,0.99
2022-01-06 03:00:00,2.99,0.99
2022-01-06 04:00:00,3.06,0.99
2022-01-06 05:00:00,3.09,0.99
2022-01-06 06:00:00,3.31,1.0
2022-01-06 07:00:00,3.2,0.99
2022-01-06 08:00:00,4.48,0.94
2022-01-06 09:00:00,5.12,0.95
2022-01-06 10:00:00,5.82,0.94
2022-01-06 11:00:00,5.63,0.94
2022-01-06 12:00:00,5.2,0.95
2022-01-06 13:00:00,5.16,0.95
2022-01-06 14:00:00,5.36,0.95
2022-01-06 15:00:00,5.09,0.95
2022-01-06 16:00:00,4.97,0.95
